Logdir logdir\ndnf_dreamer_demo_anneal_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[0] episode/eval_score 0.0 / episode/eval_length 360.0
[949] episode/score 1.0 / episode/length 18.0
[963] episode/score 1.0 / episode/length 14.0
[980] episode/score 1.0 / episode/length 17.0
[996] episode/score 1.0 / episode/length 16.0
[1011] episode/score 1.0 / episode/length 15.0
[1025] episode/score 1.0 / episode/length 14.0
[1040] episode/score 1.0 / episode/length 15.0
[1058] episode/score 1.0 / episode/length 18.0
[1089] episode/score 0.9 / episode/length 31.0
[1104] episode/score 1.0 / episode/length 15.0
[1123] episode/score 1.0 / episode/length 19.0
[1139] episode/score 1.0 / episode/length 16.0
[1157] episode/score 1.0 / episode/length 18.0
[1178] episode/score 0.9 / episode/length 21.0
[1194] episode/score 1.0 / episode/length 16.0
[1209] episode/score 1.0 / episode/length 15.0
[1226] episode/score 1.0 / episode/length 17.0
[1240] episode/score 1.0 / episode/length 14.0
[1256] episode/score 1.0 / episode/length 16.0
[1270] episode/score 1.0 / episode/length 14.0
[1285] episode/score 1.0 / episode/length 15.0
[1296] episode/score 1.0 / episode/length 11.0
[1308] episode/score 1.0 / episode/length 12.0
[1327] episode/score 1.0 / episode/length 19.0
[1346] episode/score 1.0 / episode/length 19.0
[1363] episode/score 1.0 / episode/length 17.0
[1372] episode/score 1.0 / episode/length 9.0
[1388] episode/score 1.0 / episode/length 16.0
[1402] episode/score 1.0 / episode/length 14.0
[1412] episode/score 1.0 / episode/length 10.0
[1425] episode/score 1.0 / episode/length 13.0
[1442] episode/score 1.0 / episode/length 17.0
[1461] episode/score 1.0 / episode/length 19.0
[1477] episode/score 1.0 / episode/length 16.0
[1499] episode/score 0.9 / episode/length 22.0
[1508] episode/score 1.0 / episode/length 9.0
[1522] episode/score 1.0 / episode/length 14.0
[1541] episode/score 1.0 / episode/length 19.0
[1563] episode/score 0.9 / episode/length 22.0
[1580] episode/score 1.0 / episode/length 17.0
[1596] episode/score 1.0 / episode/length 16.0
[1613] episode/score 1.0 / episode/length 17.0
[1631] episode/score 1.0 / episode/length 18.0
[1643] episode/score 1.0 / episode/length 12.0
[1655] episode/score 1.0 / episode/length 12.0
[1670] episode/score 1.0 / episode/length 15.0
[1680] episode/score 1.0 / episode/length 10.0
[1698] episode/score 1.0 / episode/length 18.0
[1718] episode/score 0.9 / episode/length 20.0
[1741] episode/score 0.9 / episode/length 23.0
[1759] episode/score 1.0 / episode/length 18.0
[1780] episode/score 0.9 / episode/length 21.0
[1793] episode/score 1.0 / episode/length 13.0
[1804] episode/score 1.0 / episode/length 11.0
[1824] episode/score 0.9 / episode/length 20.0
[1847] episode/score 0.9 / episode/length 23.0
[1862] episode/score 1.0 / episode/length 15.0
[1878] episode/score 1.0 / episode/length 16.0
[1896] episode/score 1.0 / episode/length 18.0
[1913] episode/score 1.0 / episode/length 17.0
[1925] episode/score 1.0 / episode/length 12.0
[1940] episode/score 1.0 / episode/length 15.0
[1955] episode/score 1.0 / episode/length 15.0
[1965] episode/score 1.0 / episode/length 10.0
[1980] episode/score 1.0 / episode/length 15.0
[1990] episode/score 1.0 / episode/length 10.0
[2008] episode/score 1.0 / episode/length 18.0
[2017] episode/score 1.0 / episode/length 9.0
[2033] episode/score 1.0 / episode/length 16.0
[2048] episode/score 1.0 / episode/length 15.0
[2060] episode/score 1.0 / episode/length 12.0
[2073] episode/score 1.0 / episode/length 13.0
[2090] episode/score 1.0 / episode/length 17.0
[2110] episode/score 0.9 / episode/length 20.0
[2124] episode/score 1.0 / episode/length 14.0
[2135] episode/score 1.0 / episode/length 11.0
[2147] episode/score 1.0 / episode/length 12.0
[2160] episode/score 1.0 / episode/length 13.0
[2176] episode/score 1.0 / episode/length 16.0
[2189] episode/score 1.0 / episode/length 13.0
[2202] episode/score 1.0 / episode/length 13.0
[2219] episode/score 1.0 / episode/length 17.0
[2238] episode/score 1.0 / episode/length 19.0
[2256] episode/score 1.0 / episode/length 18.0
[2271] episode/score 1.0 / episode/length 15.0
[2289] episode/score 1.0 / episode/length 18.0
[2303] episode/score 1.0 / episode/length 14.0
[2318] episode/score 1.0 / episode/length 15.0
[2335] episode/score 1.0 / episode/length 17.0
[2353] episode/score 1.0 / episode/length 18.0
[2379] episode/score 0.9 / episode/length 26.0
[2407] episode/score 0.9 / episode/length 28.0
[2423] episode/score 1.0 / episode/length 16.0
[2442] episode/score 1.0 / episode/length 19.0
[2464] episode/score 0.9 / episode/length 22.0
[2483] episode/score 1.0 / episode/length 19.0
[2497] episode/score 1.0 / episode/length 14.0
[2513] episode/score 1.0 / episode/length 16.0
[2526] episode/score 1.0 / episode/length 13.0
[2542] episode/score 1.0 / episode/length 16.0
[2553] episode/score 1.0 / episode/length 11.0
[2571] episode/score 1.0 / episode/length 18.0
[2588] episode/score 1.0 / episode/length 17.0
[2614] episode/score 0.9 / episode/length 26.0
[2623] episode/score 1.0 / episode/length 9.0
[2640] episode/score 1.0 / episode/length 17.0
[2655] episode/score 1.0 / episode/length 15.0
[2670] episode/score 1.0 / episode/length 15.0
[2681] episode/score 1.0 / episode/length 11.0
[2697] episode/score 1.0 / episode/length 16.0
[2718] episode/score 0.9 / episode/length 21.0
[2732] episode/score 1.0 / episode/length 14.0
[2745] episode/score 1.0 / episode/length 13.0
[2755] episode/score 1.0 / episode/length 10.0
[2767] episode/score 1.0 / episode/length 12.0
[2783] episode/score 1.0 / episode/length 16.0
[2803] episode/score 0.9 / episode/length 20.0
[2815] episode/score 1.0 / episode/length 12.0
[2831] episode/score 1.0 / episode/length 16.0
[2846] episode/score 1.0 / episode/length 15.0
[2862] episode/score 1.0 / episode/length 16.0
[2874] episode/score 1.0 / episode/length 12.0
[2886] episode/score 1.0 / episode/length 12.0
[2898] episode/score 1.0 / episode/length 12.0
[2911] episode/score 1.0 / episode/length 13.0
[2925] episode/score 1.0 / episode/length 14.0
[2942] episode/score 1.0 / episode/length 17.0
[2958] episode/score 1.0 / episode/length 16.0
[2974] episode/score 1.0 / episode/length 16.0
[2995] episode/score 0.9 / episode/length 21.0
[3013] episode/score 1.0 / episode/length 18.0
[3032] episode/score 1.0 / episode/length 19.0
[3048] episode/score 1.0 / episode/length 16.0
[3083] episode/score 0.9 / episode/length 35.0
[3094] episode/score 1.0 / episode/length 11.0
[3114] episode/score 0.9 / episode/length 20.0
[3135] episode/score 0.9 / episode/length 21.0
[3151] episode/score 1.0 / episode/length 16.0
[3173] episode/score 0.9 / episode/length 22.0
[3191] episode/score 1.0 / episode/length 18.0
[3207] episode/score 1.0 / episode/length 16.0
[3226] episode/score 1.0 / episode/length 19.0
[3239] episode/score 1.0 / episode/length 13.0
[3257] episode/score 1.0 / episode/length 18.0
[3274] episode/score 1.0 / episode/length 17.0
[3295] episode/score 0.9 / episode/length 21.0
[3311] episode/score 1.0 / episode/length 16.0
[3335] episode/score 0.9 / episode/length 24.0
[3344] episode/score 1.0 / episode/length 9.0
[3361] episode/score 1.0 / episode/length 17.0
[3370] episode/score 1.0 / episode/length 9.0
[3381] episode/score 1.0 / episode/length 11.0
[3393] episode/score 1.0 / episode/length 12.0
[3401] episode/score 1.0 / episode/length 8.0
[3414] episode/score 1.0 / episode/length 13.0
[3426] episode/score 1.0 / episode/length 12.0
[3444] episode/score 1.0 / episode/length 18.0
[3455] episode/score 1.0 / episode/length 11.0
[3465] episode/score 1.0 / episode/length 10.0
[3479] episode/score 1.0 / episode/length 14.0
[3494] episode/score 1.0 / episode/length 15.0
[3513] episode/score 1.0 / episode/length 19.0
[3528] episode/score 1.0 / episode/length 15.0
[3542] episode/score 1.0 / episode/length 14.0
[3562] episode/score 0.9 / episode/length 20.0
[3572] episode/score 1.0 / episode/length 10.0
[3592] episode/score 0.9 / episode/length 20.0
[3609] episode/score 1.0 / episode/length 17.0
[3622] episode/score 1.0 / episode/length 13.0
[3637] episode/score 1.0 / episode/length 15.0
[3656] episode/score 1.0 / episode/length 19.0
[3670] episode/score 1.0 / episode/length 14.0
[3682] episode/score 1.0 / episode/length 12.0
[3703] episode/score 0.9 / episode/length 21.0
[3718] episode/score 1.0 / episode/length 15.0
[3733] episode/score 1.0 / episode/length 15.0
[3745] episode/score 1.0 / episode/length 12.0
[3759] episode/score 1.0 / episode/length 14.0
[3773] episode/score 1.0 / episode/length 14.0
[3787] episode/score 1.0 / episode/length 14.0
[3800] episode/score 1.0 / episode/length 13.0
[3820] episode/score 0.9 / episode/length 20.0
[3835] episode/score 1.0 / episode/length 15.0
[3849] episode/score 1.0 / episode/length 14.0
[3858] episode/score 1.0 / episode/length 9.0
[3869] episode/score 1.0 / episode/length 11.0
[3891] episode/score 0.9 / episode/length 22.0
[3905] episode/score 1.0 / episode/length 14.0
[3919] episode/score 1.0 / episode/length 14.0
[3939] episode/score 0.9 / episode/length 20.0
[3952] episode/score 1.0 / episode/length 13.0
[3964] episode/score 1.0 / episode/length 12.0
[3984] episode/score 0.9 / episode/length 20.0
[3995] episode/score 1.0 / episode/length 11.0
[4008] episode/score 1.0 / episode/length 13.0
[4019] episode/score 1.0 / episode/length 11.0
[4036] episode/score 1.0 / episode/length 17.0
[4053] episode/score 1.0 / episode/length 17.0
[4076] episode/score 0.9 / episode/length 23.0
[4097] episode/score 0.9 / episode/length 21.0
[4113] episode/score 1.0 / episode/length 16.0
[4132] episode/score 1.0 / episode/length 19.0
[4150] episode/score 1.0 / episode/length 18.0
[4170] episode/score 0.9 / episode/length 20.0
[4182] episode/score 1.0 / episode/length 12.0
[4199] episode/score 1.0 / episode/length 17.0
[4214] episode/score 1.0 / episode/length 15.0
[4233] episode/score 1.0 / episode/length 19.0
[4250] episode/score 1.0 / episode/length 17.0
[4269] episode/score 1.0 / episode/length 19.0
[4283] episode/score 1.0 / episode/length 14.0
[4306] episode/score 0.9 / episode/length 23.0
[4319] episode/score 1.0 / episode/length 13.0
[4329] episode/score 1.0 / episode/length 10.0
[4345] episode/score 1.0 / episode/length 16.0
[4362] episode/score 1.0 / episode/length 17.0
[4373] episode/score 1.0 / episode/length 11.0
[4390] episode/score 1.0 / episode/length 17.0
[4399] episode/score 1.0 / episode/length 9.0
[4413] episode/score 1.0 / episode/length 14.0
[4429] episode/score 1.0 / episode/length 16.0
[4453] episode/score 0.9 / episode/length 24.0
[4465] episode/score 1.0 / episode/length 12.0
[4484] episode/score 1.0 / episode/length 19.0
[4497] episode/score 1.0 / episode/length 13.0
[4510] episode/score 1.0 / episode/length 13.0
[4523] episode/score 1.0 / episode/length 13.0
[4538] episode/score 1.0 / episode/length 15.0
[4553] episode/score 1.0 / episode/length 15.0
[4565] episode/score 1.0 / episode/length 12.0
[4578] episode/score 1.0 / episode/length 13.0
[4591] episode/score 1.0 / episode/length 13.0
[4607] episode/score 1.0 / episode/length 16.0
[4627] episode/score 0.9 / episode/length 20.0
[4646] episode/score 1.0 / episode/length 19.0
[4660] episode/score 1.0 / episode/length 14.0
[4676] episode/score 1.0 / episode/length 16.0
[4694] episode/score 1.0 / episode/length 18.0
[4709] episode/score 1.0 / episode/length 15.0
[4719] episode/score 1.0 / episode/length 10.0
[4731] episode/score 1.0 / episode/length 12.0
[4746] episode/score 1.0 / episode/length 15.0
[4766] episode/score 0.9 / episode/length 20.0
[4780] episode/score 1.0 / episode/length 14.0
[4793] episode/score 1.0 / episode/length 13.0
[4810] episode/score 1.0 / episode/length 17.0
[4826] episode/score 1.0 / episode/length 16.0
[4849] episode/score 0.9 / episode/length 23.0
[4864] episode/score 1.0 / episode/length 15.0
[4877] episode/score 1.0 / episode/length 13.0
[4894] episode/score 1.0 / episode/length 17.0
[4905] episode/score 1.0 / episode/length 11.0
[4923] episode/score 1.0 / episode/length 18.0
[4933] episode/score 1.0 / episode/length 10.0
[4948] episode/score 1.0 / episode/length 15.0
[4962] episode/score 1.0 / episode/length 14.0
[4984] episode/score 0.9 / episode/length 22.0
[5006] episode/score 0.9 / episode/length 22.0
[5018] episode/score 1.0 / episode/length 12.0
[5036] episode/score 1.0 / episode/length 18.0
[5054] episode/score 1.0 / episode/length 18.0
[5066] train/ndnf_delta 0.1 / train/dyn_entropy 9.3 / train/rep_entropy 10.3 / train/act_entropy_coef 0.0 / train/ret 0.0 / train/ret_005 0.0 / train/ret_095 0.0 / train/adv 0.0 / train/adv_std 0.0 / train/con 0.5 / train/rew 0.0 / train/val 0.0 / train/tar 0.0 / train/slowval 0.0 / train/weight 0.1 / train/action_entropy 1.6 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.6 / train/ret_replay_std 0.3 / train/ret_replay_min 0.0 / train/ret_replay_max 1.0 / train/value_replay_mean 0.0 / train/value_replay_std 0.0 / train/value_replay_min 0.0 / train/value_replay_max 0.0 / train/slow_value_replay_mean 0.0 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.0 / train/slow_value_replay_max 0.0 / train/loss/dyn 1.2 / train/loss/rep 1.2 / train/loss/ground 0.8 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 33.3 / train/loss/rew 5.4 / train/loss/con 0.7 / train/loss/policy -0.0 / train/loss/value 0.7 / train/loss/repval 10.0 / train/opt/loss 45.2 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 157.0 / fps/fps 45.3
[5066] episode/score 1.0 / episode/length 12.0
[5077] episode/score 1.0 / episode/length 11.0
[5099] episode/score 0.9 / episode/length 22.0
[5118] episode/score 1.0 / episode/length 19.0
[5130] episode/score 1.0 / episode/length 12.0
[5154] episode/score 0.9 / episode/length 24.0
[5174] episode/score 0.9 / episode/length 20.0
[5192] episode/score 1.0 / episode/length 18.0
[5204] episode/score 1.0 / episode/length 12.0
[5226] episode/score 0.9 / episode/length 22.0
[5242] episode/score 1.0 / episode/length 16.0
[5263] episode/score 0.9 / episode/length 21.0
[5276] episode/score 1.0 / episode/length 13.0
[5296] episode/score 0.9 / episode/length 20.0
[5308] episode/score 1.0 / episode/length 12.0
[5320] episode/score 1.0 / episode/length 12.0
[5331] episode/score 1.0 / episode/length 11.0
[5349] episode/score 1.0 / episode/length 18.0
[5364] episode/score 1.0 / episode/length 15.0
[5383] episode/score 1.0 / episode/length 19.0
[5397] episode/score 1.0 / episode/length 14.0
[5410] episode/score 1.0 / episode/length 13.0
[5425] episode/score 1.0 / episode/length 15.0
[5439] episode/score 1.0 / episode/length 14.0
[5453] episode/score 1.0 / episode/length 14.0
[5466] episode/score 1.0 / episode/length 13.0
[5479] episode/score 1.0 / episode/length 13.0
[5495] episode/score 1.0 / episode/length 16.0
[5504] episode/score 1.0 / episode/length 9.0
[5520] episode/score 1.0 / episode/length 16.0
[5532] episode/score 1.0 / episode/length 12.0
[5544] episode/score 1.0 / episode/length 12.0
[5562] episode/score 1.0 / episode/length 18.0
[5578] episode/score 1.0 / episode/length 16.0
[5591] episode/score 1.0 / episode/length 13.0
[5606] episode/score 1.0 / episode/length 15.0
[5620] episode/score 1.0 / episode/length 14.0
[5634] episode/score 1.0 / episode/length 14.0
[5650] episode/score 1.0 / episode/length 16.0
[5666] episode/score 1.0 / episode/length 16.0
[5677] episode/score 1.0 / episode/length 11.0
[5691] episode/score 1.0 / episode/length 14.0
[5714] episode/score 0.9 / episode/length 23.0
[5733] episode/score 1.0 / episode/length 19.0
[5745] episode/score 1.0 / episode/length 12.0
[5769] episode/score 0.9 / episode/length 24.0
[5781] episode/score 1.0 / episode/length 12.0
[5796] episode/score 1.0 / episode/length 15.0
[5811] episode/score 1.0 / episode/length 15.0
[5825] episode/score 1.0 / episode/length 14.0
[5835] episode/score 1.0 / episode/length 10.0
[5851] episode/score 1.0 / episode/length 16.0
[5865] episode/score 1.0 / episode/length 14.0
[5877] episode/score 1.0 / episode/length 12.0
[5891] episode/score 1.0 / episode/length 14.0
[5911] episode/score 0.9 / episode/length 20.0
[5928] episode/score 1.0 / episode/length 17.0
[5940] episode/score 1.0 / episode/length 12.0
[5958] episode/score 1.0 / episode/length 18.0
[5970] episode/score 1.0 / episode/length 12.0
[5982] episode/score 1.0 / episode/length 12.0
[5994] episode/score 1.0 / episode/length 12.0
[6010] episode/score 1.0 / episode/length 16.0
[6032] episode/score 0.9 / episode/length 22.0
[6047] episode/score 1.0 / episode/length 15.0
[6064] episode/score 1.0 / episode/length 17.0
[6078] episode/score 1.0 / episode/length 14.0
[6091] episode/score 1.0 / episode/length 13.0
[6105] episode/score 1.0 / episode/length 14.0
[6118] episode/score 1.0 / episode/length 13.0
[6128] episode/score 1.0 / episode/length 10.0
[6147] episode/score 1.0 / episode/length 19.0
[6159] episode/score 1.0 / episode/length 12.0
[6171] episode/score 1.0 / episode/length 12.0
[6190] episode/score 1.0 / episode/length 19.0
[6202] episode/score 1.0 / episode/length 12.0
[6218] episode/score 1.0 / episode/length 16.0
[6227] episode/score 1.0 / episode/length 9.0
[6241] episode/score 1.0 / episode/length 14.0
[6260] episode/score 1.0 / episode/length 19.0
[6273] episode/score 1.0 / episode/length 13.0
[6285] episode/score 1.0 / episode/length 12.0
[6297] episode/score 1.0 / episode/length 12.0
[6316] episode/score 1.0 / episode/length 19.0
[6337] episode/score 0.9 / episode/length 21.0
[6355] episode/score 1.0 / episode/length 18.0
[6369] episode/score 1.0 / episode/length 14.0
[6383] episode/score 1.0 / episode/length 14.0
[6392] episode/score 1.0 / episode/length 9.0
[6404] episode/score 1.0 / episode/length 12.0
[6421] episode/score 1.0 / episode/length 17.0
[6434] episode/score 1.0 / episode/length 13.0
[6460] episode/score 0.9 / episode/length 26.0
[6474] episode/score 1.0 / episode/length 14.0
[6492] episode/score 1.0 / episode/length 18.0
[6508] episode/score 1.0 / episode/length 16.0
[6538] episode/score 0.9 / episode/length 30.0
[6559] episode/score 0.9 / episode/length 21.0
[6573] episode/score 1.0 / episode/length 14.0
[6584] episode/score 1.0 / episode/length 11.0
[6599] episode/score 1.0 / episode/length 15.0
[6617] episode/score 1.0 / episode/length 18.0
[6637] episode/score 0.9 / episode/length 20.0
[6650] episode/score 1.0 / episode/length 13.0
[6664] episode/score 1.0 / episode/length 14.0
[6675] episode/score 1.0 / episode/length 11.0
[6696] episode/score 0.9 / episode/length 21.0
[6711] episode/score 1.0 / episode/length 15.0
[6723] episode/score 1.0 / episode/length 12.0
[6742] episode/score 1.0 / episode/length 19.0
[6758] episode/score 1.0 / episode/length 16.0
[6773] episode/score 1.0 / episode/length 15.0
[6790] episode/score 1.0 / episode/length 17.0
[6811] episode/score 0.9 / episode/length 21.0
[6829] episode/score 1.0 / episode/length 18.0
[6840] episode/score 1.0 / episode/length 11.0
[6850] episode/score 1.0 / episode/length 10.0
[6861] episode/score 1.0 / episode/length 11.0
[6878] episode/score 1.0 / episode/length 17.0
[6900] episode/score 0.9 / episode/length 22.0
[6912] episode/score 1.0 / episode/length 12.0
[6927] episode/score 1.0 / episode/length 15.0
[6937] episode/score 1.0 / episode/length 10.0
[6958] episode/score 0.9 / episode/length 21.0
[6969] episode/score 1.0 / episode/length 11.0
[6985] episode/score 1.0 / episode/length 16.0
[7004] episode/score 1.0 / episode/length 19.0
[7015] episode/score 1.0 / episode/length 11.0
[7032] episode/score 1.0 / episode/length 17.0
[7042] episode/score 1.0 / episode/length 10.0
[7053] episode/score 1.0 / episode/length 11.0
[7065] episode/score 1.0 / episode/length 12.0
[7076] episode/score 1.0 / episode/length 11.0
[7086] episode/score 1.0 / episode/length 10.0
[7101] episode/score 1.0 / episode/length 15.0
[7119] episode/score 1.0 / episode/length 18.0
[7140] episode/score 0.9 / episode/length 21.0
[7157] episode/score 1.0 / episode/length 17.0
[7178] episode/score 0.9 / episode/length 21.0
[7195] episode/score 1.0 / episode/length 17.0
[7209] episode/score 1.0 / episode/length 14.0
[7221] episode/score 1.0 / episode/length 12.0
[7236] episode/score 1.0 / episode/length 15.0
[7248] episode/score 1.0 / episode/length 12.0
[7263] episode/score 1.0 / episode/length 15.0
[7293] episode/score 0.9 / episode/length 30.0
[7314] episode/score 0.9 / episode/length 21.0
[7329] episode/score 1.0 / episode/length 15.0
[7343] episode/score 1.0 / episode/length 14.0
[7366] episode/score 0.9 / episode/length 23.0
[7383] episode/score 1.0 / episode/length 17.0
[7402] episode/score 1.0 / episode/length 19.0
[7413] episode/score 1.0 / episode/length 11.0
[7432] episode/score 1.0 / episode/length 19.0
[7450] episode/score 1.0 / episode/length 18.0
[7466] episode/score 1.0 / episode/length 16.0
[7479] episode/score 1.0 / episode/length 13.0
[7492] episode/score 1.0 / episode/length 13.0
[7505] episode/score 1.0 / episode/length 13.0
[7521] episode/score 1.0 / episode/length 16.0
[7538] episode/score 1.0 / episode/length 17.0
[7549] episode/score 1.0 / episode/length 11.0
[7561] episode/score 1.0 / episode/length 12.0
[7575] episode/score 1.0 / episode/length 14.0
[7587] episode/score 1.0 / episode/length 12.0
[7601] episode/score 1.0 / episode/length 14.0
[7616] episode/score 1.0 / episode/length 15.0
[7630] episode/score 1.0 / episode/length 14.0
[7645] episode/score 1.0 / episode/length 15.0
[7666] episode/score 0.9 / episode/length 21.0
[7677] episode/score 1.0 / episode/length 11.0
[7693] episode/score 1.0 / episode/length 16.0
[7711] episode/score 1.0 / episode/length 18.0
[7722] episode/score 1.0 / episode/length 11.0
[7739] episode/score 1.0 / episode/length 17.0
[7751] episode/score 1.0 / episode/length 12.0
[7768] episode/score 1.0 / episode/length 17.0
[7791] episode/score 0.9 / episode/length 23.0
[7811] episode/score 0.9 / episode/length 20.0
[7829] episode/score 1.0 / episode/length 18.0
[7844] episode/score 1.0 / episode/length 15.0
[7854] episode/score 1.0 / episode/length 10.0
[7873] episode/score 1.0 / episode/length 19.0
[7886] episode/score 1.0 / episode/length 13.0
[7900] episode/score 1.0 / episode/length 14.0
[7921] episode/score 0.9 / episode/length 21.0
[7935] episode/score 1.0 / episode/length 14.0
[7961] episode/score 0.9 / episode/length 26.0
[7974] episode/score 1.0 / episode/length 13.0
[7994] episode/score 0.9 / episode/length 20.0
[8006] episode/score 1.0 / episode/length 12.0
[8019] episode/score 1.0 / episode/length 13.0
[8034] episode/score 1.0 / episode/length 15.0
[8047] episode/score 1.0 / episode/length 13.0
[8065] episode/score 1.0 / episode/length 18.0
[8084] episode/score 1.0 / episode/length 19.0
[8099] episode/score 1.0 / episode/length 15.0
[8110] episode/score 1.0 / episode/length 11.0
[8129] episode/score 1.0 / episode/length 19.0
[8139] episode/score 1.0 / episode/length 10.0
[8160] episode/score 0.9 / episode/length 21.0
[8178] episode/score 1.0 / episode/length 18.0
[8199] episode/score 0.9 / episode/length 21.0
[8216] episode/score 1.0 / episode/length 17.0
[8227] episode/score 1.0 / episode/length 11.0
[8240] episode/score 1.0 / episode/length 13.0
[8251] episode/score 1.0 / episode/length 11.0
[8266] episode/score 1.0 / episode/length 15.0
[8284] episode/score 1.0 / episode/length 18.0
[8297] episode/score 1.0 / episode/length 13.0
[8308] episode/score 1.0 / episode/length 11.0
[8324] episode/score 1.0 / episode/length 16.0
[8341] episode/score 1.0 / episode/length 17.0
[8359] episode/score 1.0 / episode/length 18.0
[8376] episode/score 1.0 / episode/length 17.0
[8386] episode/score 1.0 / episode/length 10.0
[8414] episode/score 0.9 / episode/length 28.0
[8428] episode/score 1.0 / episode/length 14.0
[8440] episode/score 1.0 / episode/length 12.0
[8459] episode/score 1.0 / episode/length 19.0
[8475] episode/score 1.0 / episode/length 16.0
[8484] episode/score 1.0 / episode/length 9.0
[8498] episode/score 1.0 / episode/length 14.0
[8519] episode/score 0.9 / episode/length 21.0
[8532] episode/score 1.0 / episode/length 13.0
[8549] episode/score 1.0 / episode/length 17.0
[8569] episode/score 0.9 / episode/length 20.0
[8584] episode/score 1.0 / episode/length 15.0
[8598] episode/score 1.0 / episode/length 14.0
[8617] episode/score 1.0 / episode/length 19.0
[8632] episode/score 1.0 / episode/length 15.0
[8649] episode/score 1.0 / episode/length 17.0
[8668] episode/score 1.0 / episode/length 19.0
[8682] episode/score 1.0 / episode/length 14.0
[8701] episode/score 1.0 / episode/length 19.0
[8721] episode/score 0.9 / episode/length 20.0
[8742] episode/score 0.9 / episode/length 21.0
[8761] episode/score 1.0 / episode/length 19.0
[8771] episode/score 1.0 / episode/length 10.0
[8784] episode/score 1.0 / episode/length 13.0
[8797] episode/score 1.0 / episode/length 13.0
[8814] episode/score 1.0 / episode/length 17.0
[8831] episode/score 1.0 / episode/length 17.0
[8846] episode/score 1.0 / episode/length 15.0
[8861] episode/score 1.0 / episode/length 15.0
