Logdir logdir\m2fix_exp1_delta_full_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[2124] episode/score 1.0 / episode/length 14.0
[2135] episode/score 1.0 / episode/length 11.0
[2147] episode/score 1.0 / episode/length 12.0
[2160] episode/score 1.0 / episode/length 13.0
[2176] episode/score 1.0 / episode/length 16.0
[2189] episode/score 1.0 / episode/length 13.0
[2202] episode/score 1.0 / episode/length 13.0
[2219] episode/score 1.0 / episode/length 17.0
[2238] episode/score 1.0 / episode/length 19.0
[2256] episode/score 1.0 / episode/length 18.0
[2271] episode/score 1.0 / episode/length 15.0
[2289] episode/score 1.0 / episode/length 18.0
[2303] episode/score 1.0 / episode/length 14.0
[2318] episode/score 1.0 / episode/length 15.0
[2335] episode/score 1.0 / episode/length 17.0
[2353] episode/score 1.0 / episode/length 18.0
[2379] episode/score 0.9 / episode/length 26.0
[2407] episode/score 0.9 / episode/length 28.0
[2423] episode/score 1.0 / episode/length 16.0
[2442] episode/score 1.0 / episode/length 19.0
[2464] episode/score 0.9 / episode/length 22.0
[2483] episode/score 1.0 / episode/length 19.0
[2497] episode/score 1.0 / episode/length 14.0
[2513] episode/score 1.0 / episode/length 16.0
[2526] episode/score 1.0 / episode/length 13.0
[2542] episode/score 1.0 / episode/length 16.0
[2553] episode/score 1.0 / episode/length 11.0
[2571] episode/score 1.0 / episode/length 18.0
[2588] episode/score 1.0 / episode/length 17.0
[2614] episode/score 0.9 / episode/length 26.0
[2623] episode/score 1.0 / episode/length 9.0
[2640] episode/score 1.0 / episode/length 17.0
[2655] episode/score 1.0 / episode/length 15.0
[2670] episode/score 1.0 / episode/length 15.0
[2681] episode/score 1.0 / episode/length 11.0
[2697] episode/score 1.0 / episode/length 16.0
[2718] episode/score 0.9 / episode/length 21.0
[2732] episode/score 1.0 / episode/length 14.0
[2745] episode/score 1.0 / episode/length 13.0
[2755] episode/score 1.0 / episode/length 10.0
[2767] episode/score 1.0 / episode/length 12.0
[2783] episode/score 1.0 / episode/length 16.0
[2803] episode/score 0.9 / episode/length 20.0
[2815] episode/score 1.0 / episode/length 12.0
[2831] episode/score 1.0 / episode/length 16.0
[2846] episode/score 1.0 / episode/length 15.0
[2862] episode/score 1.0 / episode/length 16.0
[2874] episode/score 1.0 / episode/length 12.0
[2886] episode/score 1.0 / episode/length 12.0
[2898] episode/score 1.0 / episode/length 12.0
[2911] episode/score 1.0 / episode/length 13.0
[2925] episode/score 1.0 / episode/length 14.0
[2942] episode/score 1.0 / episode/length 17.0
[2958] episode/score 1.0 / episode/length 16.0
[2974] episode/score 1.0 / episode/length 16.0
[2995] episode/score 0.9 / episode/length 21.0
[3013] episode/score 1.0 / episode/length 18.0
[3032] episode/score 1.0 / episode/length 19.0
[3048] episode/score 1.0 / episode/length 16.0
[3083] episode/score 0.9 / episode/length 35.0
[3094] episode/score 1.0 / episode/length 11.0
[3114] episode/score 0.9 / episode/length 20.0
[3135] episode/score 0.9 / episode/length 21.0
[3151] episode/score 1.0 / episode/length 16.0
[3173] episode/score 0.9 / episode/length 22.0
[3191] episode/score 1.0 / episode/length 18.0
[3207] episode/score 1.0 / episode/length 16.0
[3226] episode/score 1.0 / episode/length 19.0
[3239] episode/score 1.0 / episode/length 13.0
[3257] episode/score 1.0 / episode/length 18.0
[3274] episode/score 1.0 / episode/length 17.0
[3295] episode/score 0.9 / episode/length 21.0
[3311] episode/score 1.0 / episode/length 16.0
[3335] episode/score 0.9 / episode/length 24.0
[3344] episode/score 1.0 / episode/length 9.0
[3361] episode/score 1.0 / episode/length 17.0
[3370] episode/score 1.0 / episode/length 9.0
[3381] episode/score 1.0 / episode/length 11.0
[3393] episode/score 1.0 / episode/length 12.0
[3401] episode/score 1.0 / episode/length 8.0
[3414] episode/score 1.0 / episode/length 13.0
[3426] episode/score 1.0 / episode/length 12.0
[3444] episode/score 1.0 / episode/length 18.0
[3455] episode/score 1.0 / episode/length 11.0
[3465] episode/score 1.0 / episode/length 10.0
[3479] episode/score 1.0 / episode/length 14.0
[3494] episode/score 1.0 / episode/length 15.0
[3513] episode/score 1.0 / episode/length 19.0
