Logdir logdir\ndnf_dreamer_demo_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,760: rssm
       146,695: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 841193 parameters.
Evaluating the policy...
[2098] episode/score 1.0 / episode/length 16.0
[2112] episode/score 1.0 / episode/length 14.0
[2125] episode/score 1.0 / episode/length 13.0
[2135] episode/score 1.0 / episode/length 10.0
[2153] episode/score 1.0 / episode/length 18.0
[2165] episode/score 1.0 / episode/length 12.0
[2177] episode/score 1.0 / episode/length 12.0
[2189] episode/score 1.0 / episode/length 12.0
[2204] episode/score 1.0 / episode/length 15.0
[2222] episode/score 1.0 / episode/length 18.0
[2234] episode/score 1.0 / episode/length 12.0
[2259] episode/score 0.9 / episode/length 25.0
[2274] episode/score 1.0 / episode/length 15.0
[2289] episode/score 1.0 / episode/length 15.0
[2305] episode/score 1.0 / episode/length 16.0
[2330] episode/score 0.9 / episode/length 25.0
[2345] episode/score 1.0 / episode/length 15.0
[2363] episode/score 1.0 / episode/length 18.0
[2383] episode/score 0.9 / episode/length 20.0
[2407] episode/score 0.9 / episode/length 24.0
[2423] episode/score 1.0 / episode/length 16.0
[2450] episode/score 0.9 / episode/length 27.0
[2466] episode/score 1.0 / episode/length 16.0
[2481] episode/score 1.0 / episode/length 15.0
[2494] episode/score 1.0 / episode/length 13.0
[2510] episode/score 1.0 / episode/length 16.0
[2528] episode/score 1.0 / episode/length 18.0
[2545] episode/score 1.0 / episode/length 17.0
[2557] episode/score 1.0 / episode/length 12.0
[2577] episode/score 0.9 / episode/length 20.0
[2586] episode/score 1.0 / episode/length 9.0
[2609] episode/score 0.9 / episode/length 23.0
[2628] episode/score 1.0 / episode/length 19.0
[2642] episode/score 1.0 / episode/length 14.0
[2651] episode/score 1.0 / episode/length 9.0
[2669] episode/score 1.0 / episode/length 18.0
[2685] episode/score 1.0 / episode/length 16.0
[2695] episode/score 1.0 / episode/length 10.0
[2714] episode/score 1.0 / episode/length 19.0
[2726] episode/score 1.0 / episode/length 12.0
[2741] episode/score 1.0 / episode/length 15.0
[2757] episode/score 1.0 / episode/length 16.0
[2773] episode/score 1.0 / episode/length 16.0
[2787] episode/score 1.0 / episode/length 14.0
[2806] episode/score 1.0 / episode/length 19.0
[2821] episode/score 1.0 / episode/length 15.0
[2838] episode/score 1.0 / episode/length 17.0
[2850] episode/score 1.0 / episode/length 12.0
[2867] episode/score 1.0 / episode/length 17.0
[2883] episode/score 1.0 / episode/length 16.0
[2894] episode/score 1.0 / episode/length 11.0
[2911] episode/score 1.0 / episode/length 17.0
[2927] episode/score 1.0 / episode/length 16.0
[2944] episode/score 1.0 / episode/length 17.0
[2960] episode/score 1.0 / episode/length 16.0
[2979] episode/score 1.0 / episode/length 19.0
[2995] episode/score 1.0 / episode/length 16.0
[3022] episode/score 0.9 / episode/length 27.0
[3039] episode/score 1.0 / episode/length 17.0
[3056] episode/score 1.0 / episode/length 17.0
[3069] episode/score 1.0 / episode/length 13.0
[3090] episode/score 0.9 / episode/length 21.0
[3113] episode/score 0.9 / episode/length 23.0
[3137] episode/score 0.9 / episode/length 24.0
[3152] episode/score 1.0 / episode/length 15.0
[3178] episode/score 0.9 / episode/length 26.0
[3193] episode/score 1.0 / episode/length 15.0
[3204] episode/score 1.0 / episode/length 11.0
[3224] episode/score 0.9 / episode/length 20.0
[3237] episode/score 1.0 / episode/length 13.0
[3260] episode/score 0.9 / episode/length 23.0
[3275] episode/score 1.0 / episode/length 15.0
